be		26 
government		71 55 81 39 69 51 53 18 78 1 68 77 52 86 88 36 8 83 10 19 94 45 50 41 5 65 47 
been		10 5 15 99 96 60 33 59 34 90 
may		40 49 35 71 15 31 70 83 
its		22 5 27 8 35 12 68 21 67 96 62 44 1 80 20 45 17 24 79 78 55 83 69 59 70 86 54 50 29 2 87 77 84 75 66 97 14 46 4 
his		79 70 2 39 43 50 52 91 81 16 33 95 75 35 94 98 34 37 28 67 100 85 77 89 71 15 41 69 
became		13 27 63 29 23 85 3 36 76 82 91 90 71 10 69 94 84 83 18 43 89 45 11 50 35 12 53 48 95 44 49 79 81 25 40 1 46 87 42 37 28 80 21 38 100 58 66 
later		1 62 15 4 63 50 
on		28 98 99 70 1 7 61 71 5 37 68 50 94 
but		90 96 
some		71 90 14 52 91 64 62 82 68 67 85 15 12 51 63 65 54 97 25 55 11 98 30 92 
for		25 29 17 13 23 93 16 86 21 42 95 27 58 91 35 2 1 8 31 68 61 36 66 46 22 79 75 30 77 97 55 
more		31 22 97 7 15 30 28 9 53 72 6 76 59 23 62 85 44 5 63 21 48 49 26 70 94 88 20 66 37 8 68 83 41 11 17 12 
known		12 96 20 62 31 47 56 52 24 60 87 30 89 16 65 48 98 36 26 100 85 68 15 76 92 6 44 90 7 57 25 21 22 64 17 34 84 70 79 43 29 71 
people		34 75 63 95 20 76 22 57 85 10 66 16 40 88 74 71 13 84 27 100 6 52 30 68 56 61 51 
from		27 56 26 35 70 90 55 48 7 39 92 93 14 20 86 18 79 50 59 85 42 43 25 11 62 31 82 30 41 84 100 2 81 9 63 8 97 94 52 80 19 46 
up		8 49 47 34 26 11 81 84 42 21 74 20 65 28 89 46 91 97 17 85 31 48 93 43 55 75 29 30 63 59 16 100 66 38 86 19 44 72 7 60 98 52 96 62 61 36 2 
would		17 55 59 78 94 30 60 18 41 4 62 32 38 26 69 24 52 37 36 42 40 80 100 68 35 70 12 93 99 
there		36 35 97 76 20 93 16 96 10 33 72 82 71 94 81 74 22 67 
being		89 54 37 91 32 100 85 6 86 58 45 7 31 20 60 62 
number		56 97 49 44 
state		71 72 21 80 49 100 86 82 29 9 3 30 91 67 54 94 85 43 10 32 93 66 19 74 25 15 18 68 12 55 17 61 76 99 73 69 47 33 26 40 38 8 52 20 78 11 89 84 16 95 
used		60 22 89 68 93 37 54 47 97 13 17 88 94 35 9 6 
their		20 72 66 7 85 63 69 1 91 100 84 33 92 93 74 32 53 48 34 97 29 78 
has		39 49 36 60 66 50 4 51 29 70 9 93 19 10 
during		86 69 34 38 46 18 2 32 76 26 
only		11 7 31 37 93 33 88 5 13 27 83 90 6 46 4 9 54 59 16 76 100 63 40 20 14 82 43 95 
when		16 
both		3 89 59 25 90 40 29 96 36 41 78 1 94 99 88 83 10 65 4 74 77 85 53 81 21 26 72 92 42 48 13 60 8 100 30 6 86 20 22 76 73 66 
her		4 21 48 
ndash		24 59 7 42 5 82 49 68 93 46 17 19 64 95 53 97 8 85 14 91 43 83 63 92 
can		14 90 1 65 16 28 51 76 81 37 67 31 71 5 100 25 99 29 73 
between		73 50 85 70 19 63 35 96 54 41 13 58 44 16 49 17 60 33 53 81 18 80 21 69 36 30 86 4 20 29 93 87 
an		47 1 75 62 52 80 56 2 95 10 96 15 36 82 4 49 
through		71 67 30 83 75 63 54 31 69 98 34 82 70 29 50 5 35 26 81 19 28 2 15 25 56 66 68 92 38 59 24 61 65 45 4 53 79 37 95 
then		81 56 59 55 91 92 43 49 58 51 16 88 45 75 84 86 22 13 39 69 90 33 61 72 62 52 77 15 3 26 19 21 85 94 30 89 76 93 2 
many		39 62 26 20 82 15 24 8 7 46 37 87 94 91 54 34 44 23 50 58 10 80 21 47 14 73 78 61 79 13 69 36 100 28 59 70 40 25 33 19 85 48 64 93 99 84 51 98 97 55 
part		50 14 13 35 88 61 19 41 4 97 93 95 28 82 43 
it		35 14 53 99 37 1 75 50 41 66 25 13 71 68 72 
this		97 2 74 77 53 4 6 17 31 12 80 68 9 78 5 92 86 48 70 38 94 50 13 61 75 32 93 42 43 47 45 26 90 79 72 83 49 29 41 10 15 
and		70 75 47 91 64 42 10 84 73 28 56 55 79 53 76 
who		8 95 1 97 47 16 58 48 18 11 5 53 72 44 71 40 63 87 43 31 37 84 55 24 10 2 
than		43 10 65 21 82 13 66 67 20 19 99 81 29 47 15 41 50 69 85 18 9 45 38 61 91 64 35 55 3 87 31 57 62 92 1 27 30 98 84 68 80 6 94 22 26 71 11 34 7 
film		85 91 87 4 53 55 68 14 12 7 22 39 92 82 58 5 6 51 71 20 28 42 57 70 60 34 59 38 88 69 18 79 77 37 65 72 86 24 45 31 62 17 46 98 78 15 19 
including		72 32 2 43 87 70 77 69 28 11 15 82 1 
into		3 68 71 23 24 38 56 5 88 89 60 49 98 87 80 84 45 93 100 28 
the		100 4 86 13 82 39 81 54 19 26 33 59 41 24 77 15 66 76 36 88 7 55 44 85 8 79 37 18 73 93 28 92 
them		1 64 10 3 86 85 21 93 7 11 80 24 2 
to		40 96 48 6 1 12 27 41 98 20 51 85 15 99 46 79 37 19 59 95 67 49 86 24 90 
are		59 90 63 68 26 44 52 66 23 83 89 69 32 1 70 43 97 25 18 98 22 75 88 76 38 30 31 86 11 19 95 47 54 50 48 92 94 16 49 45 64 62 65 55 71 46 20 82 
not		18 38 19 78 85 86 45 10 91 58 55 73 50 26 27 51 62 2 46 23 8 4 47 17 42 82 60 88 33 25 98 53 74 67 63 15 14 24 75 
three		46 42 25 37 69 88 95 65 77 34 16 39 67 85 52 89 72 36 70 91 29 
after		70 3 2 
system		50 84 82 46 2 31 56 36 81 58 52 69 19 62 68 1 64 59 94 77 83 87 49 30 98 42 32 53 25 27 39 91 16 76 45 61 75 43 48 21 78 80 71 
of		94 98 27 92 17 53 21 55 14 41 11 79 76 2 74 
math		10 13 47 50 27 9 51 59 67 6 68 2 45 88 22 95 71 54 25 81 73 55 79 23 21 84 61 49 82 66 69 77 52 43 74 16 100 40 14 93 99 87 
over		25 21 66 12 86 49 93 4 7 63 97 96 43 27 
language		33 37 53 10 66 30 15 54 19 26 
first		82 93 35 24 5 79 41 48 57 34 92 20 40 66 99 14 55 
in		44 12 29 9 27 96 2 98 
was		76 64 85 3 20 81 67 73 78 100 32 7 17 27 41 92 59 38 99 6 97 13 43 16 47 26 89 36 83 58 57 87 11 45 29 40 33 
at		99 47 58 55 70 36 19 80 53 28 39 4 45 20 2 75 31 72 15 78 62 86 87 94 8 34 
century		15 8 38 51 7 43 57 68 35 56 23 69 63 70 
nbsp		17 37 26 99 38 1 52 72 61 100 2 70 85 59 9 5 90 44 71 53 42 68 69 65 57 47 95 87 58 41 4 78 39 25 67 91 49 22 35 30 3 86 88 60 34 98 
one		71 57 41 74 16 87 30 32 33 48 60 14 25 38 11 13 86 96 98 61 45 6 78 94 51 7 89 69 77 44 53 27 92 75 26 
by		98 51 44 36 70 69 4 88 28 93 22 46 75 16 52 2 19 29 9 33 56 43 27 15 76 24 97 78 49 96 61 63 55 42 41 85 31 65 6 53 92 80 3 81 20 11 
years		85 18 97 52 98 31 84 99 23 47 82 69 62 30 5 56 68 6 27 91 2 61 
two		80 41 28 14 75 61 89 44 13 17 99 11 65 76 37 5 57 7 49 98 46 88 25 31 30 4 
use		48 92 22 67 28 31 23 64 46 79 32 76 52 66 18 77 84 26 91 98 4 44 11 88 89 43 96 15 72 49 16 38 63 86 37 27 12 100 13 1 58 21 24 30 20 39 85 75 
year		21 25 18 94 60 86 20 15 95 41 34 23 75 2 7 66 81 32 69 90 79 49 17 64 19 77 30 74 39 57 63 6 85 82 29 89 48 50 5 72 91 3 62 80 55 46 96 
